regional,circunscricao,site_oficial,url_fonte,titulo_pagina,cnpj_detectado,emails_detectados,telefones_detectados,trechos_doacao,data_coleta,status_validacao
Regional Nordeste II,Arquidiocese de Olinda e Recife,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/criada-a-106%c2%aa-paroquia-jesus-cristo-bom-pastor/,"Criada a 106ª paróquia, Jesus Cristo Bom Pastor | Arquidiocese de Olinda e Recife",,aorcomunicacao@gmail.com,2017-2025; 81 3271.4270,,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste II,Arquidiocese de Olinda e Recife,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/nota-de-pesar-da-arquidiocese-de-olinda-e-recife-pelo-falecimento-do-padre-luiz-gonzaga/,Nota de pesar da Arquidiocese de Olinda e Recife pelo Falecimento do padre Luiz Gonzaga | Arquidiocese de Olinda e Recife,,aorcomunicacao@gmail.com,2017-2025; 81 3271.4270,,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste II,Arquidiocese de Olinda e Recife,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/em-pe-comissao-da-verdade-recebe-dossie-do-caso-padre-henrique/,"Em PE, Comissão da Verdade recebe dossiê do caso Padre Henrique | Arquidiocese de Olinda e Recife",,aorcomunicacao@gmail.com,2017-2025; 81 3271.4270,,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste II,Arquidiocese de Olinda e Recife,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/comissoes-de-catequese-e-comunicacao-convocam-representantes-das-paroquias-do-vicariato-para-reunioes/,Vicariato Recife Sul 2 convoca comissões de Catequese e Comunicação para reuniões | Arquidiocese de Olinda e Recife,,aorcomunicacao@gmail.com,2017-2025; 81 3271.4270,,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste II,Arquidiocese de Olinda e Recife,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/paroquia-do-cabo-inaugura-centro-social-e-sede-do-vicariato/,Paróquia do Cabo inaugura Centro Social e Sede do Vicariato | Arquidiocese de Olinda e Recife,,aorcomunicacao@gmail.com,2017-2025; 81 3271.4270,,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste II,Arquidiocese de Olinda e Recife,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/missa-de-7%c2%ba-dia-do-padre-carlos-avanzi/,Missa de 7º Dia do padre Carlos Avanzi será nesta sexta-feira | Arquidiocese de Olinda e Recife,,aorcomunicacao@gmail.com,2017-2025; 81 3271.4270,,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste II,Arquidiocese de Olinda e Recife,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/padre-hector-ruiz-concede-entrevista-ao-portal-zenit/,Padre Hector Ruiz concede entrevista ao portal Zenit | Arquidiocese de Olinda e Recife,,aorcomunicacao@gmail.com; paroquiaslm@hotmail.com,2017-2025; 35250277; 81 3271.4270,Padre Héctor: A verdade é que até agora reunimos poucos desses “super-ricos” e “super-poderosos”. Conseguimos mais apoio da classe média. E por isso reforçamos nosso projeto de reunir o maior número de padrinhos que mensalmente contribuam com algo para uma das,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Norte II,Diocese de Ponta de Pedras,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/07/a-importancia-da-pastoral-do-dizimo.html,A importância da Pastoral do Dízimo,,,,"A importância da Pastoral do Dízimo | A importância da Pastoral do Dízimo | de 2019, estamos celebrando 22 anos da implantação do Dízimo em nossa Diocese, | Dízimo, lançada este ano.   Ao longo de | necessidade e urgência do dízimo em todas as nossas paróquias.   Graças a Deus, já estamos colhendo os frutos | desse grande esforço. Diante desse desafio, o dízimo logo se torna uma das",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Norte II,Diocese de Ponta de Pedras,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/10/paroquia-sao-miguel-faz-envio-de-dom.html,Paróquia São Miguel faz envio de Dom Teodoro para o Sínodo para a Amazônia,,,,"Dízimo e espiritualidade | Por: Pe. Edileno Felix “Quanto mais nos damos a Deus, mais Ele se dá a nós” (Santa Elisabete da Trindade). Neste mês de Agosto, temos a oportunidade de refletir sobre o dizimo e a espiritualidade, e buscando o sentido da vida espiritual encontramos no catecism | Dízimo: fundamentos antropológicos, histórico-bíblicos e teológicos | Ordem antropológica Para se falar de dízimo, é preciso, antes de tudo, considerar uma verdade de ordem antropológica e histórica: o homem sempre se viu na necessidade de oferecer algo à Divindade, de desfazer-se de algum bem seu para consagrá-lo a Deus. Na ver",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Norte II,Diocese de Ponta de Pedras,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/06/paroquia-de-curralinho-promove-curso-de.html,Paróquia de Curralinho promove curso de teologia para leigos,,,,"Dízimo e espiritualidade | Por: Pe. Edileno Felix “Quanto mais nos damos a Deus, mais Ele se dá a nós” (Santa Elisabete da Trindade). Neste mês de Agosto, temos a oportunidade de refletir sobre o dizimo e a espiritualidade, e buscando o sentido da vida espiritual encontramos no catecism | Dízimo: fundamentos antropológicos, histórico-bíblicos e teológicos | Ordem antropológica Para se falar de dízimo, é preciso, antes de tudo, considerar uma verdade de ordem antropológica e histórica: o homem sempre se viu na necessidade de oferecer algo à Divindade, de desfazer-se de algum bem seu para consagrá-lo a Deus. Na ver",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
