regional,sigla_estados_regional,provincia_eclesiastica,papel_na_provincia,tipo_circunscricao,circunscricao,ano_criacao,url_cnbb_regional,fonte_wikipedia,estado,municipio_sede,regiao,bairro,endereco,nome_da_igreja_paroquia,cnpj,canal_de_doacoes,contato,nome_do_paroco,site_oficial_wikidata,wikidata_item,wikidata_label,score_match_wikidata,paginas_candidatas_visitadas,urls_relevantes_detectadas,tem_doacao_detectada_site_diocesano,data_coleta_fase2
Regional Centro-Oeste,"GO, MT, DF",Província Eclesiástica de Brasília,sede metropolitana,Arquidiocese,Arquidiocese de Brasília,1966,https://www.cnbb.org.br/centro-oeste/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,,https://arqbrasilia.com.br/,http://www.wikidata.org/entity/Q739626,Arquidiocese de Brasília,1.000,8,https://arqbrasilia.com.br/padre-nilton-boni-e-o-novo-paroco-e-reitor-do-santuario-nossa-senhora-do-perpetuo-socorro/ | https://arqbrasilia.com.br/padre-patrick-fernandes-fala-sobre-evangelizar-com-alegria-no-novo-episodio-do-perfil-catolico/ | https://arqbrasilia.com.br/festa-junina-paroquia-sao-vicente-de-paulo/ | https://arqbrasilia.com.br/padre-vanilson-silva-celebra-a-santa-missa-no-terceiro-dia-da-novena-em-honra-a-nossa-senhora-aparecida/ | https://arqbrasilia.com.br/dom-denilson-geraldo-celebra-crisma-na-paroquia-nossa-senhora-da-esperanca/ | https://arqbrasilia.com.br/lista-de-nomeacoes-do-clero-dezembro-2024/ | https://arqbrasilia.com.br/padre-jose-valdo-assume-a-paroquia-nossa-senhora-da-conceicao-aparecida-como-administrador-paroquial/ | https://arqbrasilia.com.br/paroquia-sao-francisco-de-assis-celebra-posse-do-padre-matias-como-paroco-e-e-elevada-a-igreja-jubilar-franciscana/,sim,2026-06-07
Regional Centro-Oeste,"GO, MT, DF",Província Eclesiástica de Goiânia,sede metropolitana,Arquidiocese,Arquidiocese de Goiânia,1956,https://www.cnbb.org.br/centro-oeste/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,,https://arquidiocesedegoiania.org.br/,http://www.wikidata.org/entity/Q1364537,Arquidiocese de Goiânia,1.000,8,https://arquidiocesedegoiania.org.br/dizimo-uma-pastoral-transformadora-para-a-comunidade/ | https://arquidiocesedegoiania.org.br/clero/ | https://arquidiocesedegoiania.org.br/local_paroquia-sitemap1.xml | https://arquidiocesedegoiania.org.br/ | https://arquidiocesedegoiania.org.br/padres-cantores-da-cnbb-lancam-clipe/ | https://arquidiocesedegoiania.org.br/contato/ | https://arquidiocesedegoiania.org.br/clero-sitemap1.xml | https://arquidiocesedegoiania.org.br/comunidades-de-vida/,sim,2026-06-07
Regional Centro-Oeste,"GO, MT, DF",Província Eclesiástica de Goiânia,sufragânea,Diocese,Diocese de Anápolis,1966,https://www.cnbb.org.br/centro-oeste/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,,https://www.diocesedeanapolis.org.br/2012/,http://www.wikidata.org/entity/Q866874,Diocese de Anápolis,1.000,8,https://www.diocesedeanapolis.org.br/bispo-diocesano-cria-capelania-universitaria-santa-clara-em-anapolis/ | https://www.diocesedeanapolis.org.br/clero-jovem-da-diocese-de-anapolis-realiza-reuniao/ | https://www.diocesedeanapolis.org.br/sao-benedito-celebra-jubileu-paroquial-de-85-anos/ | https://www.diocesedeanapolis.org.br/padre-fabio-carlos-faz-reflexao-do-1o-domingo-da-quaresma/ | https://www.diocesedeanapolis.org.br/vaticano-divulga-documento-sobre-missao-e-evangelizacao-nas-paroquias/ | https://www.diocesedeanapolis.org.br/escolas/novas-comunidades-e-fundacoes/ | https://www.diocesedeanapolis.org.br/paroquias/,sim,2026-06-07
Regional Centro-Oeste,"GO, MT, DF",Província Eclesiástica de Brasília,sufragânea,Diocese,Diocese de Formosa,1979,https://www.cnbb.org.br/centro-oeste/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,,http://www.dioceseformosa.org.br/,http://www.wikidata.org/entity/Q868913,Diocese de Formosa,1.000,8,,não,2026-06-07
Regional Centro-Oeste,"GO, MT, DF",Província Eclesiástica de Goiânia,sufragânea,Diocese,Diocese de Goiás,1826,https://www.cnbb.org.br/centro-oeste/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,,http://www.diocesedegoias.org.br/,http://www.wikidata.org/entity/Q181783,Diocese de Goiás,1.000,8,https://diocesedegoias.org.br/clero/pe-kennedy-de-morais/ | https://diocesedegoias.org.br/noticias/igreja-diocesana/confraternizacao-do-clero/ | https://diocesedegoias.org.br/clero/ | https://diocesedegoias.org.br/noticias/igreja-diocesana/paroquia-divino-pai-eterno-celebra-seu-padroeiro-com-novena-e-festa/ | https://diocesedegoias.org.br/multimidia/galeria-de-videos/retiro-do-clero-2024/ | https://diocesedegoias.org.br/noticias/igreja-diocesana/diocese-de-goias-realiza-retiro-do-clero/ | https://diocesedegoias.org.br/ultimas-noticias/padre-chicao-38-anos-de-martirio-uma-vida-doada-pela-justica-do-reino-de-deus/,não,2026-06-07
Regional Centro-Oeste,"GO, MT, DF",Província Eclesiástica de Goiânia,sufragânea,Diocese,Diocese de Ipameri,1966,https://www.cnbb.org.br/centro-oeste/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,,http://www.diocesedeanapolis.org.br/,http://www.wikidata.org/entity/Q869748,Diocese de Ipameri,1.000,8,https://www.diocesedeanapolis.org.br/bispo-diocesano-cria-capelania-universitaria-santa-clara-em-anapolis/ | https://www.diocesedeanapolis.org.br/clero-jovem-da-diocese-de-anapolis-realiza-reuniao/ | https://www.diocesedeanapolis.org.br/sao-benedito-celebra-jubileu-paroquial-de-85-anos/ | https://www.diocesedeanapolis.org.br/padre-fabio-carlos-faz-reflexao-do-1o-domingo-da-quaresma/ | https://www.diocesedeanapolis.org.br/vaticano-divulga-documento-sobre-missao-e-evangelizacao-nas-paroquias/ | https://www.diocesedeanapolis.org.br/escolas/novas-comunidades-e-fundacoes/ | https://www.diocesedeanapolis.org.br/padre-joao-paulo-a-verdadeira-alegria-do-natal/,sim,2026-06-07
Regional Centro-Oeste,"GO, MT, DF",Província Eclesiástica de Goiânia,sufragânea,Diocese,Diocese de Itumbiara,1966,https://www.cnbb.org.br/centro-oeste/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,,http://www.dioceseitumbiara.hpg.com.br,http://www.wikidata.org/entity/Q869875,Diocese de Itumbiara,1.000,8,https://hpg.com.br/ | https://hpg.com.br/ | https://hpg.com.br/ | https://hpg.com.br/ | https://hpg.com.br/contato | https://hpg.com.br/ | https://hpg.com.br/ | https://hpg.com.br/,não,2026-06-07
Regional Centro-Oeste,"GO, MT, DF",Província Eclesiástica de Goiânia,sufragânea,Diocese,Diocese de Jataí,1956,https://www.cnbb.org.br/centro-oeste/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,,https://www.diocesedejatai.org/,http://www.wikidata.org/entity/Q869964,Diocese de Jataí,1.000,8,https://www.diocesedejatai.org/ | https://www.diocesedejatai.org/clero | https://www.diocesedejatai.org/paroquias | https://www.diocesedejatai.org/contato,sim,2026-06-07
Regional Centro-Oeste,"GO, MT, DF",Província Eclesiástica de Brasília,sufragânea,Diocese,Diocese de Luziânia,1989,https://www.cnbb.org.br/centro-oeste/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,,http://diocesedeluziania.blogspot.com/,http://www.wikidata.org/entity/Q267155,Diocese de Luziânia,1.000,8,http://diocesedeluziania.blogspot.com/2012/08/morre-padre-rodrigo-castro.html | http://diocesedeluziania.blogspot.com/2011/10/morre-padre-que-foi-professor-no.html | http://diocesedeluziania.blogspot.com/,sim,2026-06-07
Regional Centro-Oeste,"GO, MT, DF",Província Eclesiástica de Goiânia,sufragânea,Diocese,Diocese de Rubiataba-Mozarlândia,1966,https://www.cnbb.org.br/centro-oeste/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,,http://www.cnbbco.org.br/diocese_detalhe.php?id_diocese,http://www.wikidata.org/entity/Q875151,Diocese de Rubiataba-Mozarlândia,1.000,8,,não,2026-06-07
