regional,sigla_estados_regional,provincia_eclesiastica,papel_na_provincia,tipo_circunscricao,circunscricao,ano_criacao,url_cnbb_regional,fonte_wikipedia,estado,municipio_sede,regiao,bairro,endereco,nome_da_igreja_paroquia,cnpj,canal_de_doacoes,contato,nome_do_paroco
Regional Norte I,"AM, RR",Província Eclesiástica de Manaus,sede metropolitana,Arquidiocese,Arquidiocese de Manaus,1952,https://www.cnbb.org.br/norte-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte I,"AM, RR",Província Eclesiástica de Manaus,sufragânea,Prelazia,Prelazia de Tefé,1950,https://www.cnbb.org.br/norte-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte I,"AM, RR",Província Eclesiástica de Manaus,sufragânea,Diocese,Diocese de Parintins,1955,https://www.cnbb.org.br/norte-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte I,"AM, RR",Província Eclesiástica de Manaus,sufragânea,Prelazia,Prelazia de Itacoatiara,1963,https://www.cnbb.org.br/norte-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte I,"AM, RR",Província Eclesiástica de Manaus,sufragânea,Diocese,Diocese de Roraima,1979,https://www.cnbb.org.br/norte-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte I,"AM, RR",Província Eclesiástica de Manaus,sufragânea,Diocese,Diocese de São Gabriel da Cachoeira,1980,https://www.cnbb.org.br/norte-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte I,"AM, RR",Província Eclesiástica de Manaus,sufragânea,Diocese,Diocese de Alto Solimões,1991,https://www.cnbb.org.br/norte-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte I,"AM, RR",Província Eclesiástica de Manaus,sufragânea,Diocese,Diocese de Coari,2013,https://www.cnbb.org.br/norte-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte I,"AM, RR",Província Eclesiástica de Manaus,sufragânea,Diocese,Diocese de Borba,2022,https://www.cnbb.org.br/norte-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Belém do Pará,sede metropolitana,Arquidiocese,Arquidiocese de Belém do Pará,1906,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Belém do Pará,sufragânea,Prelazia,Prelazia de Marajó,1928,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Belém do Pará,sufragânea,Diocese,Diocese de Marabá,1979,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Belém do Pará,sufragânea,Diocese,Diocese de Ponta de Pedras,1979,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Belém do Pará,sufragânea,Diocese,Diocese de Bragança do Pará,1979,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Belém do Pará,sufragânea,Diocese,Diocese de Macapá,1980,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Belém do Pará,sufragânea,Diocese,Diocese de Abaetetuba,1981,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Norte II,"PA, AP",Província Eclesiástica de Belém do Pará,sufragânea,Diocese,Diocese de Castanhal,2004,https://www.cnbb.org.br/norte-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
