pais,regiao,uf,estado,municipio,bairro,endereco,nome_igreja,cnpj,canal_doacoes,contato,nome_paroco,vigarios_diaconos,diocese_arquidiocese,fonte_oficial,url_fonte,id_fonte,data_coleta,status_validacao,observacoes
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Enjenho das Lajes,"Rua São José, 87. Engenho das Lajes- Gama- DF COMPLEMENTO: na altura da BR 060 km 30.",São Sebastião,,"doação de parte da fazenda para construir um colégio público”. [gd_post_meta key=""nome_do_proco"" font_size=""0"" alignment=""bloc | doação de parte da fazenda para construir um colégio público”. Segunda-feira- 9h - 12h 14h - 19h trabalho interno não atenderá",,Padre Sebastião de Souza Júnior,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/sao-sebastiao-4/,4531,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Sol Nascente,"SH Sol Nascente - Ceilândia, Brasília - DF, 72236-800",Santa Clara de Assis,,"Dízimo, Liturgia, Mesce, pastoral Familiar, pastoral da Saúde, pastoral da Criança, pastoral da Comunicação, Renovação Carismá",Tel: 61 99378-9691 | WhatsApp: 61 99378-9691 | Email: Santaclara.solnascente@arquidiocesedebrasilia.org.br,Pe. Henrique de Sousa Mendonça,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/santa-clara-de-assis/,1826,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Asa Sul,"SGAS 908, lotes 24/25, Asa Sul, 70.390-080",São Judas Tadeu,,"ofertar à nova capital, um “fac-símile” da imagem de São Judas Tadeu, venerada desde 1934, na Igreja Matriz desse icônicobairr",Tel: (61) 3686-7616 | WhatsApp: (61) 3686-7616 | Email: psjt908@hotmail.com | Instagram: https://www.instagram.com/psjt908sul/,Padre CARLOS FERNANDO HERNÁNDEZ SÁNCHEZ,Pe. Giovanni Tomaz Lopes Costa,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/sao-judas-tadeu/,528,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,,,Brasília,Guará,Guará I,EQ 01/02 AE 01 Lúcio Costa - Guará I - Brasília - DF,São José,,"doação do Sr. Jeovat Mendes, no qual, com muita dedicação, dirigiu também a parte técnica dos trabalhos. As missas eram celebr",Tel: 3568-5027 | WhatsApp: (61) 9 9858-7357 | Email: secretaria@paroquiasaojose.org | Site: https://www.paroquiasaojose.org/,,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/sao-jose/,565,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Taguatinga,"EQNM 34/36 AE Md. B, Setor M Norte, Taguatinga, 72.145-507",São Pedro e São Paulo,,doação de materiais e ajuda da comunidade construiu a paróquia na quadra 38/40 da M norte e depois a capela na quadra 34/36. E,Tel: (61) 3581-3972 | WhatsApp: (61) 3581-3972 | Email: spspdf@gmail.com | Facebook: https://www.facebook.com/paroquiaspedrospaulomnorte/?ref=page_internal | Instagram: https://www.instagram.com/paroquiaspspmnorte/,Padre Alexandre da Luz Silva,Antônio Alves dos Santos,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/sao-pedro-e-sao-paulo/,574,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Taguatinga,"AE 3 Setor D Sul, Lt 1 e 2, Taguatinga Sul, 72.020-030",Nossa Senhora de Fátima,,"doação, à Mitra Arquidiocesana de Brasília, das seguintes áreas: Área Especial 03, D – Sul, Área para Igreja 25 – Setor D-Sul | doação. Nesses 62 anos da nossa Paróquia contou com párocos dedicados para evangelizar, em especial a 52 anos conta com a admi",Tel: (61) 3561-0568 / (61) 3967-0568 | WhatsApp: (61) 3561-0568 | Email: secretaria@pnsf.org.br,"Pe. Sandrosvaldo Gonçalves, OCS","Pe. Anderson Augusto Mina de Oliveira Lima, OCS | Pe. Ernestino Mendes Bueno, OCS",Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/nossa-senhora-de-fatima-2/,581,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Taguatinga,"QNC 12, Lote 01 AE, Taguatinga Norte, 72.115-620",Imaculado Coração de Maria,,"dízimo, banheiros...) • Em 23 de fevereiro de 2022, aniversário de 8 anos da paróquia, a comunidade ganhou um brasão, nova ide",Tel: 61 99654-4808 | WhatsApp: 6199654-4808 | Email: imaculadocoracao.taguatinga@arquidiocesedebrasilia.org.br,Padre Paulo Alves Marciano,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/imaculado-coracao-de-maria-2/,582,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Ceilândia,"EQNP 14/18 AE Md. A- Setor P Sul, Ceilândia,72.231-551",Nossa Senhora Mãe da Divina Providência,,"Dízimo, Liturgia e tantas outras que, conforme as necessidades, foram ganhando forma e corpo, fazendo assim com que a Paróquia",Tel: (61) 3377-7272 | WhatsApp: (61) 3377-7272 | Email: paroquiansmdp@gmail.com | Facebook: https://www.facebook.com/pnsmdppascom/?locale=pt_BR | Instagram: https://www.instagram.com/pnsmdp/,Padre Everaldo Bispo da Silva,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/nossa-senhora-mae-da-divina-providencia/,596,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Samambaia,"QS 121 Cj. A Lote 3, Samambaia, 72.301-583",Jesus de Nazaré,00.108.217/0097-61,CNPJ encontrado no texto: 00.108.217/0097-61,Tel: (61) 3359-6587 | WhatsApp: (61) 3359-6587 | Email: pjnbsb@gmail.com,Pe. Lucas da Silva Gonçalves.,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/jesus-de-nazare/,631,2026-06-07,coletado_de_fonte_oficial; dados_financeiros_detectados,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Brazlândia,"Q.1 AE s/n. - Praça S. Sebastião, Brazlândia, 72.720-700",São Sebastião,,"dízimo para a construção da nova sede da Igreja e, durante a festa do Divino Espírito Santo, Dom Ávila lançou a pedra fundamen",Tel: (61) 3391-1208 | Email: saosebastiaosetorx@yahoo.com.br,Pe. Marcial Asunción Alvarez Dias,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/sao-sebastiao-3/,634,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Vicente Pires,"Col. Agrícola Samambaia, Rua 01, Chácara 97, Lote A, Vicente Pires, 72.110-600",Nossa Senhora Auxiliadora,,"doação do terreno e registrá-lo em Cartório, que o fizerem logo após. Com o andamento da construção da Igreja, com a ajuda dos",Tel: (61) 3208-4737 | WhatsApp: 61 3208-4737 | Email: nsauxiliadora.vicentepires@arquidiocesedebrasilia.org.br,Pe. Francisco Wilson dos Santos,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/nossa-senhora-auxiliadora-vicente-pires/,652,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Santa Maria,"CL 215 AE “G” , Stª Mª, 72.545-227",Santa Mãe de Deus,,"ofertas recebidas. Por meio de mutirão, pessoas de várias comunidades também se empenharam no levantamento das obras. Para a e",Tel: (61) 3394-3986 | Email: secretaria_smd@hotmail.com,Pe. Willames Nascimento Fernandes,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/santa-mae-de-deus-santa-maria/,665,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Planaltina,"Quadra. 11, Conj. F, lotes 3/4 -Arapoanga – Planaltina/DF. CEP: 73.368.538",Divino Espírito Santo,,"Dízimo; Pastoral Familiar e o Grupo de Liturgia e Animação. À medida em que crescia o número dos fieis, crescia também a devoç | Dízimo era insuficiente para custear, uma Paróquia. Em sendo assim Pe. Rêner solicitou ajuda financeira aos Párocos da circunv",Tel: 34893222,Doalcei Boenos Alves Gonçalves,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/divino-espirito-santo-4/,676,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
