pais,regiao,uf,estado,municipio,bairro,endereco,nome_igreja,cnpj,canal_doacoes,contato,nome_paroco,vigarios_diaconos,diocese_arquidiocese,fonte_oficial,url_fonte,id_fonte,data_coleta,status_validacao,observacoes
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Ceilândia,Ceilândia,Paróquia Bem-Aventurada Virgem Maria de Guadalupe,,,,,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/paroquia-bem-aventurada-virgem-maria-de-guadalupe/,7867,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,São Sebastião,Quadra 12 número 14 - Morro da Cruz - São Sebastião - DF – CEP: 71693-500,Paróquia São Sebastião,,,Tel: (61) 99206-0015 | WhatsApp: (61) 99206-0015 | Email: psaosebastiao01@gmail.com | Instagram: https://www.instagram.com/paroquiasaosebastiao01/,Ricardo Maria Lustosa Corado Valente,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/paroquia-sao-sebastiao/,7860,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Guará,Guará I,"SMAS, Park Sul, SETOR SGCV AE 01, Brasília-DF, 71215-100.",Paróquia São João Paulo II,,,Tel: (61) 99846-0759 | WhatsApp: (61) 99846-0759 | Email: paroquiajp02@gmail.com | Instagram: https://www.instagram.com/psaojoaopauloii?igsh=MTdoZHF3YTh3Zm51YQ==,Pe. Luis Felipe Cardoso Gonçalves,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/paroquia-sao-joao-paulo-segundo/,7662,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Paranoá,Paranoá,"Estrada Parque Tamanduá, Paranoá Parque, Região Geográfica Imediata do Distrito Federal, Região Centro-Oeste",Paróquia São José de Anchieta,,,Tel: 61981626122 | WhatsApp: 61981626122 | Email: paroqsaojosedeanchieta@gmail.com | Site: https://psjanchieta.com.br/ | Instagram: https://www.instagram.com/paroq.saojosedeanchieta?igsh=MWx0aHI4NGJxOWx3bA==,Padre Everton Rodrigues de Oliveira,Diácono José Dias,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/paroquia-sao-jose-de-anchieta/,6317,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Vicente Pires,"Colônia Agr. 26 de Setembro - Av. Principal, 131 - Vicente Pires, Brasília - DF",Santa Bernadete,,,Tel: (61) 99675-7340 | WhatsApp: (61) 99675-7340 | Email: santa.bernadete@arquidiocesedebrasilia.org.br | Facebook: https://www.facebook.com/psantabernadete/ | Instagram: https://www.instagram.com/psantabernadete/,Padre Francisco de Assis Freires,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/santa-bernadete/,4552,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Samambaia,"QS 305 conjunto 1 Lote1 /4 - Samambaia Sul, Brasília - DF",São Bento,,,,Pe. Alexis Alfonzo Guanipa Flores,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/sao-bento/,4544,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Samambaia,QN 421 Conj D Lotes 01/05 - Samambaia Norte DF,São José Operário,,,Tel: 61 34594839 | WhatsApp: 61 34594839,Pe. Daltair Felippe Rodrigues de Souza,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/sao-jose-operario-5/,4539,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Samambaia,"QS 404 Conj. A Lote 1 - Samambaia Norte, Brasília - DF, 72318-100",Nossa Senhora das Dores,,,Tel: (61) 3041-0018 | Email: nsdores.samambaia@arquidiocesedebrasilia.org.br,Pe. Raimundo Nonato Oliveira Coelho Filho,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/nossa-senhora-das-dores-2/,4535,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Enjenho das Lajes,"Rua São José, 87. Engenho das Lajes- Gama- DF COMPLEMENTO: na altura da BR 060 km 30.",São Sebastião,,"doação de parte da fazenda para construir um colégio público”. [gd_post_meta key=""nome_do_proco"" font_size=""0"" alignment=""bloc | doação de parte da fazenda para construir um colégio público”. Segunda-feira- 9h - 12h 14h - 19h trabalho interno não atenderá",,Padre Sebastião de Souza Júnior,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/sao-sebastiao-4/,4531,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
Brasil,Centro-Oeste,DF,Distrito Federal,Brasília,Gama,Quadra A Lote C Área Especial – Expansão do Setor Oeste- 72.420-418-Gama-Brasilia-DF,Nossa Senhora da Paz,,,Tel: 61-3384-0630 | WhatsApp: 61-3384-0630 | 61-99975-0348,Padre Roberto Crispim,,Arquidiocese de Brasília,Arquidiocese de Brasília - GeoDirectory API,https://arqbrasilia.com.br/todas_paroquias/nossa-senhora-da-paz-2/,4528,2026-06-07,coletado_de_fonte_oficial; pendente_enriquecimento_cnpj_doacoes,Campos CNPJ/doações/paróco ficam vazios quando a fonte oficial não publica o dado estruturado.
