regional,sigla_estados_regional,circunscricao,tipo_circunscricao,estado,municipio,regiao,bairro,endereco,nome_da_igreja_paroquia,cnpj,canal_de_doacoes,contato,nome_do_paroco,site_oficial_circunscricao,url_fonte,fonte,data_coleta,status_validacao
Regional Norte II,"PA, AP",Prelazia de Alto Xingu-Tucumã,Prelazia,,,,,,PARÓQUIA NOSSA SENHORA APARECIDA,,,,,http://prelaziadoaltoxingu.org/,https://prelaziadoaltoxingu.org/paroquias.php/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Prelazia de Alto Xingu-Tucumã,Prelazia,,,,,,PARÓQUIA SÃO JOÃO BATISTA,,,,,http://prelaziadoaltoxingu.org/,https://prelaziadoaltoxingu.org/paroquias.php/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Prelazia de Alto Xingu-Tucumã,Prelazia,,,,,,PARÓQUIA SANTA CATARINA DE SENA,,,,,http://prelaziadoaltoxingu.org/,https://prelaziadoaltoxingu.org/paroquias.php/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Prelazia de Alto Xingu-Tucumã,Prelazia,,,,,,PARÓQUIA SANTA RITA DE CÁSSIA,,,,,http://prelaziadoaltoxingu.org/,https://prelaziadoaltoxingu.org/paroquias.php/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Prelazia de Alto Xingu-Tucumã,Prelazia,,,,,,PARÓQUIA SÃO FÉLIX,,,,,http://prelaziadoaltoxingu.org/,https://prelaziadoaltoxingu.org/paroquias.php/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Prelazia de Alto Xingu-Tucumã,Prelazia,,,,,,comunidade e crescer na fé!,,,,,http://prelaziadoaltoxingu.org/,https://prelaziadoaltoxingu.org/noticias/192/a-prelazia-do-alto-xingu-tucuma-convida-todas-as-comunidades-a-participarem-da-formacao-da-campanha-da-fraternidade-2026,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Castanhal,Diocese,,,,,,Paróquia João Paulo II recebe pedra fundamental e seu primeiro pároco,,,,Pedro Bodei,http://diocesedecastanhal.blogspot.com/,http://diocesedecastanhal.blogspot.com/2013/08/paroquia-joao-paulo-ii-recebe-pedra.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Castanhal,Diocese,,,,,,Paróquia João Paulo II - Missa da Pedra Fundamental,,,,Pedro Bodei,http://diocesedecastanhal.blogspot.com/,http://diocesedecastanhal.blogspot.com/2013/08/paroquia-joao-paulo-ii-recebe-pedra.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Castanhal,Diocese,,,,,,"paróquia João Paulo II, a mais nova da Diocese, na noite do domingo, 4",,,,Pedro Bodei,http://diocesedecastanhal.blogspot.com/,http://diocesedecastanhal.blogspot.com/2013/08/paroquia-joao-paulo-ii-recebe-pedra.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Castanhal,Diocese,,,,,,paróquia e antes faziam parte das paróquias de São José e Cristo,,,,Pedro Bodei,http://diocesedecastanhal.blogspot.com/,http://diocesedecastanhal.blogspot.com/2013/08/paroquia-joao-paulo-ii-recebe-pedra.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
